Deal Date,Security Code,Company,Client Name,Deal Type,Quantity,Price
02/09/2021,500800,TATACONSUM,GSAM L P A/C GOLDMAN SACHS VARIABLE INS TRUST G S INTL EQUITY FUND,P,3099446,867.40
02/09/2021,500800,TATACONSUM,GSAM L P A/C GOLDMAN SACHS VARIABLE INS TRUST G S INTL EQUITY FUND,S,3099446,867.40
02/09/2021,524494,IPCALAB,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,P,927874,2531.90
02/09/2021,524494,IPCALAB,GOLDMAN SACHS INDIA FUND LIMITED,S,927874,2531.90
02/09/2021,524200,VINATIORGA,GSAM L P A/C GOLDMAN SACHS VARIABLE INS TRUST G S INTL EQUITY FUND,P,647839,1790.80
02/09/2021,524200,VINATIORGA,GSAM L P A/C GOLDMAN SACHS VARIABLE INS TRUST G S INTL EQUITY FUND,S,647839,1790.80
02/09/2021,543245,GLAND,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,P,400293,3903.05
02/09/2021,543245,GLAND,GOLDMAN SACHS INDIA FUND LIMITED,S,400293,3903.05
02/09/2021,540902,AMBER,GSAM L P A/C GOLDMAN SACHS VARIABLE INS TRUST G S INTL EQUITY FUND,P,304300,3027.15
02/09/2021,540902,AMBER,GSAM L P A/C GOLDMAN SACHS VARIABLE INS TRUST G S INTL EQUITY FUND,S,304300,3027.15
02/09/2021,500027,ATUL,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,P,173831,9238.45
02/09/2021,500027,ATUL,GOLDMAN SACHS INDIA FUND LIMITED,S,173831,9238.45
03/09/2021,500243,KIRLOSIND,ANUJ ANANTRAI SHETH,P,80000,1407.00
03/09/2021,500243,KIRLOSIND,INDIA CAPITAL MANAGEMENT LIMITED A/C INDIA CAPITAL FUND LIMITED,S,80000,1407.00
03/09/2021,500243,KIRLOSIND,INDIA CAPITAL MANAGEMENT LIMITED A/C INDIA CAPITAL FUND LIMITED,S,76984,1407.00
03/09/2021,500243,KIRLOSIND,GAGANDEEP CREDIT CAPITAL PRIVATE LIMITED,P,76984,1407.00
06/09/2021,504000,ELPROINTL,I G E (INDIA) PRIVATE LIMITED,P,13480000,55.00
06/09/2021,504000,ELPROINTL,INTERNATIONAL CONVEYORS LIMITED,S,13480000,55.00
07/09/2021,500440,HINDALCO,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,P,6176216,469.20
07/09/2021,500440,HINDALCO,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,S,6176216,469.20
07/09/2021,500038,BALRAMCHIN,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,P,4333235,364.70
07/09/2021,500038,BALRAMCHIN,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,S,4333235,364.70
